Date,SiteName,LocationName,WeekDay,TotalCount,Recording_ID
2015-01-01,York,Church Street,Thursday,1952,375836
2015-01-01,York,Coney Street,Thursday,12220,724862
2015-01-01,York,Micklegate,Thursday,5559,451020
2015-01-01,York,Parliament Street at M&S,Thursday,7802,523989
2015-01-01,York,Stonegate,Thursday,14004,382272
2015-01-02,York,Church Street,Friday,3451,464381
2015-01-02,York,Coney Street,Friday,31495,654292
2015-01-02,York,Micklegate,Friday,7055,965489
2015-01-02,York,Parliament Street at M&S,Friday,25427,289782
2015-01-02,York,Stonegate,Friday,25678,687871
2015-01-03,York,Church Street,Saturday,2793,553827
2015-01-03,York,Coney Street,Saturday,31243,581017
2015-01-03,York,Micklegate,Saturday,7231,296482
2015-01-03,York,Parliament Street at M&S,Saturday,20501,214701
2015-01-03,York,Stonegate,Saturday,24066,631528
2015-01-04,York,Church Street,Sunday,1753,254855
2015-01-04,York,Coney Street,Sunday,17965,29830
2015-01-04,York,Micklegate,Sunday,4711,793491
2015-01-04,York,Parliament Street at M&S,Sunday,13145,262884
2015-01-04,York,Stonegate,Sunday,14138,818107
2015-01-05,York,Church Street,Monday,2195,625014
2015-01-05,York,Coney Street,Monday,19995,849091
2015-01-05,York,Micklegate,Monday,4942,219127
2015-01-05,York,Parliament Street at M&S,Monday,18206,518604
2015-01-05,York,Stonegate,Monday,10888,932928
2015-01-06,York,Church Street,Tuesday,2275,77487
2015-01-06,York,Coney Street,Tuesday,17435,365968
2015-01-06,York,Micklegate,Tuesday,5077,21949
2015-01-06,York,Parliament Street at M&S,Tuesday,14559,159982
2015-01-06,York,Stonegate,Tuesday,10686,451148
2015-01-07,York,Church Street,Wednesday,2347,723432
2015-01-07,York,Coney Street,Wednesday,16643,676820
2015-01-07,York,Micklegate,Wednesday,4939,301541
2015-01-07,York,Parliament Street at M&S,Wednesday,13299,444086
2015-01-07,York,Stonegate,Wednesday,10012,614153
2015-01-08,York,Church Street,Thursday,2489,375568
2015-01-08,York,Coney Street,Thursday,17348,190169
2015-01-08,York,Micklegate,Thursday,5289,175594
2015-01-08,York,Parliament Street at M&S,Thursday,18890,86956
2015-01-08,York,Stonegate,Thursday,10155,294205
2015-01-09,York,Church Street,Friday,2998,104809
2015-01-09,York,Coney Street,Friday,17368,945422
2015-01-09,York,Micklegate,Friday,6062,582676
2015-01-09,York,Parliament Street at M&S,Friday,15577,365904
2015-01-09,York,Stonegate,Friday,12203,817897
2015-01-10,York,Church Street,Saturday,3777,174442
2015-01-10,York,Coney Street,Saturday,27585,877089
2015-01-10,York,Micklegate,Saturday,7528,836915
2015-01-10,York,Parliament Street at M&S,Saturday,23992,194666
2015-01-10,York,Stonegate,Saturday,23700,165988
2015-01-11,York,Church Street,Sunday,2301,81616
2015-01-11,York,Coney Street,Sunday,15912,640406
2015-01-11,York,Micklegate,Sunday,4017,982482
2015-01-11,York,Parliament Street at M&S,Sunday,10112,396904
2015-01-11,York,Stonegate,Sunday,13017,170448
2015-01-12,York,Church Street,Monday,2351,232709
2015-01-12,York,Coney Street,Monday,15982,941080
2015-01-12,York,Micklegate,Monday,4671,24085
2015-01-12,York,Parliament Street at M&S,Monday,13156,288217
2015-01-12,York,Stonegate,Monday,9061,405664
2015-01-13,York,Church Street,Tuesday,2621,758101
2015-01-13,York,Coney Street,Tuesday,16467,538470
2015-01-13,York,Micklegate,Tuesday,4916,565542
2015-01-13,York,Parliament Street at M&S,Tuesday,16379,75907
2015-01-13,York,Stonegate,Tuesday,9321,536605
2015-01-14,York,Church Street,Wednesday,2053,760071
2015-01-14,York,Coney Street,Wednesday,16780,248374
2015-01-14,York,Micklegate,Wednesday,5332,902708
2015-01-14,York,Parliament Street at M&S,Wednesday,17122,889392
2015-01-14,York,Stonegate,Wednesday,9989,380698
2015-01-15,York,Church Street,Thursday,1271,942468
2015-01-15,York,Coney Street,Thursday,16513,137459
2015-01-15,York,Micklegate,Thursday,5328,666750
2015-01-15,York,Parliament Street at M&S,Thursday,16849,559251
2015-01-15,York,Stonegate,Thursday,9870,322859
2015-01-16,York,Church Street,Friday,1557,751697
2015-01-16,York,Coney Street,Friday,17340,733468
2015-01-16,York,Micklegate,Friday,5986,383519
2015-01-16,York,Parliament Street at M&S,Friday,21163,779890
2015-01-16,York,Stonegate,Friday,12922,829927
2015-01-17,York,Church Street,Saturday,2873,570699
2015-01-17,York,Coney Street,Saturday,27808,603944
2015-01-17,York,Micklegate,Saturday,7986,553460
2015-01-17,York,Parliament Street at M&S,Saturday,27131,629866
2015-01-17,York,Stonegate,Saturday,26316,170435
2015-01-18,York,Church Street,Sunday,2333,32340
2015-01-18,York,Coney Street,Sunday,16876,195453
2015-01-18,York,Micklegate,Sunday,4505,63897
2015-01-18,York,Parliament Street at M&S,Sunday,11632,83606
2015-01-18,York,Stonegate,Sunday,14957,59200
